dep_id,key,value,date
6,Assess & Diagnose,0.013333333,06/01/12
6,Assess & Diagnose,0.024096386,06/04/12
6,Assess & Diagnose,0.02690583,06/05/12
6,Assess & Diagnose,0.040540541,06/06/12
6,Assess & Diagnose,0.042424242,06/07/12
6,Assess & Diagnose,0.013513514,06/08/12
6,Assess & Diagnose,0,06/10/12
6,Assess & Diagnose,0.024242424,06/11/12
6,Assess & Diagnose,0.020512821,06/12/12
6,Assess & Diagnose,0.013793103,06/13/12
6,Assess & Diagnose,0.052173913,06/14/12
6,Assess & Diagnose,0.006410256,06/15/12
6,Assess & Diagnose,0,06/17/12
6,Assess & Diagnose,0.041958042,06/18/12
6,Assess & Diagnose,0.028571429,06/19/12
6,Assess & Diagnose,0.007633588,06/20/12
6,Assess & Diagnose,0.03539823,06/21/12
6,Assess & Diagnose,0.030534351,06/22/12
6,Assess & Diagnose,0.06097561,06/25/12
6,Assess & Diagnose,0.022099448,06/26/12
6,Assess & Diagnose,0.02919708,06/27/12
6,Assess & Diagnose,0.052631579,06/28/12
6,Assess & Diagnose,0.010582011,06/29/12
15,Assess & Diagnose,0,06/01/12
15,Assess & Diagnose,0.14084507,06/04/12
15,Assess & Diagnose,0.153846154,06/05/12
15,Assess & Diagnose,0.112903226,06/06/12
15,Assess & Diagnose,0.15,06/07/12
15,Assess & Diagnose,0.064516129,06/08/12
15,Assess & Diagnose,0,06/10/12
15,Assess & Diagnose,0.196969697,06/11/12
15,Assess & Diagnose,0.142857143,06/12/12
15,Assess & Diagnose,0.089285714,06/13/12
15,Assess & Diagnose,0.097560976,06/14/12
15,Assess & Diagnose,0.0625,06/15/12
15,Assess & Diagnose,0.066666667,06/18/12
15,Assess & Diagnose,0.216666667,06/19/12
15,Assess & Diagnose,0.140350877,06/20/12
15,Assess & Diagnose,0.193548387,06/21/12
15,Assess & Diagnose,0.052631579,06/22/12
15,Assess & Diagnose,0,06/25/12
15,Assess & Diagnose,0.088235294,06/26/12
15,Assess & Diagnose,0.090909091,06/27/12
15,Assess & Diagnose,0.047619048,06/28/12
